survey_id,survey_submitted_at,trip_start_date,trip_finish_date,hotel_name,hotel_code,hotel_trip_other_name,hotel_any_other,hotel_ritz_carlton,hotel_super_eight,hotel_embassy_suites,hotel_days_inn,hotel_hampton_inn,hotel_quality_inn,hotel_marriott,hotel_holiday_inn,hotel_omni,hotel_hilton,hotel_millenium,hotel_radisson,hotel_hyatt,hotel_fairfield_inn,hotel_ramada_inn,hotel_drury_inn,hotel_four_seasons,hotel_best_western,hotel_past_other_name,hotel_selection_cost,hotel_selection_bar,hotel_selection_distance_to_parks,hotel_selection_in_room_dining,hotel_selection_food_court,hotel_selection_sit_down_dining,hotel_selection_fine_dining,hotel_selection_parks_shuttle,hotel_selection_airport_shuttle,hotel_selection_in_room_kitchen,hotel_selection_room_size,hotel_selection_multiple_bedroom_suites,hotel_selection_spa_fitness_center,hotel_selection_pool,hotel_selection_theme,hotel_selection_kids_activities,hotel_selection_location_on_property,hotel_selection_other_string,hotel_selection_other_rating,hotel_satisfied_room_cleanliness,hotel_satisfied_room_size,hotel_satisfied_room_quietness,hotel_satisfied_beds_pillows,hotel_satisfied_pool_size,hotel_satisfied_pool_crowds,hotel_satisfied_pool_cleanliness,hotel_satisfied_parks_shuttle,hotel_satisfied_airport_shuttle,hotel_satisfied_check_in_out_process,hotel_satisfied_staff,hotel_satisfied_recreation_amenities,hotel_satisfied_food_court_overall,hotel_satisfied_food_court_value,hotel_satisfied_find_your_way_around,hotel_satisfied_child_services,hotel_satisfied_sit_down_dining,hotel_satisfied_other_string,hotel_satisfied_other_rating,hotel_satisfaction_code,hotel_stay_again,hotel_recommendation_code,hotel_room_number,hotel_room_connecting,hotel_room_connecting_room_number,hotel_room_bed_code,user_id,party_members,hometown,how_many_trips,ip_address
26071,2017-10-10T17:04:56Z,2017-09-30,2017-10-07,Disney's Caribbean Beach Resort,ORL007,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,2,,,,,,,,,,,3,4,,,,,4,4,5,4,5,4,4,4,4,4,4,4,,,4,,,,,very_satisfied,1,may_recommend,3633,0,,two_double,560624,F8|M30,Little Rock,2,
26072,2017-10-10T17:37:33Z,2017-09-29,2017-10-07,Disney's Pop Century Resort,ORL013,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,4,1,2,1,4,1,1,5,5,1,1,1,,5,2,1,5,,,4,4,5,4,5,5,5,5,5,5,5,,5,5,5,,,,,very_satisfied,1,will_definitely_recommend,6233,0,,two_double,506027,F14|M8|M47,Bardstown,4,
26075,2017-10-10T18:46:34Z,2017-05-02,2017-05-27,Disney's Port Orleans Resort - French Quarter,ORL014,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Cambria Suites,3,2,4,3,3,3,2,4,4,1,3,1,,1,5,1,3,Disney Magic/Castmembers,5,5,4,5,4,,,,4,,5,5,,4,3,4,,,,,very_satisfied,1,will_definitely_recommend,6226,0,n/a,king,2749,M51,"Reidsville, NC",10,
26076,2017-10-10T18:52:35Z,2017-10-02,2017-10-07,Disney's Caribbean Beach Resort,ORL007,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,,1,,3,,,,,,4,,,2,,,,,,4,4,4,3,4,3,4,4,4,5,4,3,3,3,4,3,3,,,very_satisfied,1,will_definitely_recommend,2603,0,,two_queens_murphy,496061,F56|M9|M12|M36,Ponchatoula,5,
26077,2017-10-10T21:03:54Z,2017-08-20,2017-08-26,Disney's Pop Century Resort,ORL013,8368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Microtel,5,1,3,1,4,1,1,4,2,1,2,1,,3,3,1,3,,,4,4,4,4,4,4,4,4,,5,4,4,4,3,4,,,,,very_satisfied,1,will_definitely_recommend,,1,8369,two_queen,52256,F11|F37|M14|M42,Maryland,9,
26079,2017-10-10T21:58:41Z,2017-09-24,2017-10-05,Disney's Port Orleans Resort - Riverside,ORL015,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,3,,2,,,5,,,,,,,1,,,,,5,5,5,3,3,4,4,4,4,4,4,4,5,4,5,,,,,very_satisfied,1,will_definitely_recommend,8033,0,,two_queen,,F50|F51,Edmonton,3,
26081,2017-10-10T22:47:48Z,2017-09-30,2017-10-07,Disney's Pop Century Resort,ORL013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,3,,,,,4,2,,,,,,,,1,,,2,4,4,5,3,3,4,4,4,2,3,2,2,2,3,3,2,,,somewhat_satisfied,1,may_recommend,9445,1,9444,two_queen,359786,"",,4,
26082,2017-10-10T23:35:50Z,2017-10-04,2017-10-07,Disney's All-Star Sports Resort,ORL001,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,4,1,5,1,5,1,1,5,1,1,3,1,,1,1,1,4,,,4,4,3,4,,,,5,,4,3,,4,4,5,,,,,somewhat_satisfied,0,probably_wont_recommend,4245,0,,two_double,523921,F10|F12|M38,Pawleys Island,5,
26084,2017-10-11T02:47:53Z,2017-09-30,2017-10-07,Bay Lake Tower at Disney's Contemporary Resort,ORL239,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,4,,3,,1,,,2,,,5,5,5,4,4,5,5,5,5,4,4,,,,4,,,,,very_satisfied,1,will_definitely_recommend,,,,suite,540741,"",St. Louis,,
26085,2017-10-11T06:40:06Z,2017-09-30,2017-10-07,Disney's Old Key West Resort,ORL011,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,La Quinta,,,3,,,,,,,1,,4,,,2,,5,,,3,5,5,4,4,4,5,4,,4,5,4,2,2,3,,4,,,somewhat_satisfied,1,probably_wont_recommend,4224,0,,suite,173170,F1|F42|M4|M39,Ellington CT,12,
