length_of_stay,hotel_name,how_many_trips,normalized_hotel_selection_cost,normalized_hotel_selection_bar,normalized_hotel_selection_distance_to_parks,normalized_hotel_selection_in_room_dining,normalized_hotel_selection_food_court,normalized_hotel_selection_sit_down_dining,normalized_hotel_selection_fine_dining,normalized_hotel_selection_parks_shuttle,normalized_hotel_selection_airport_shuttle,normalized_hotel_selection_in_room_kitchen,normalized_hotel_selection_room_size,normalized_hotel_selection_multiple_bedroom_suites,normalized_hotel_selection_pool,normalized_hotel_selection_theme,normalized_hotel_selection_kids_activities,normalized_hotel_selection_location_on_property
1, Dolphin at Walt Disney World,5,-0.008318265,2.435230251,1.142329726,2.621911511,2.188584832,0.567065547,-0.681434599,0.87171521,-0.282545337,-1.09644485,-0.190606061,-1.144778044,-0.349814952,-1.368429072,-0.670839038,0.218546791
6, Dolphin at Walt Disney World,5,-1.008318265,0.435230251,1.142329726,0.621911511,0.188584832,0.567065547,1.318565401,0.87171521,-1.282545337,0.90355515,0.809393939,0.855221956,1.650185048,0.631570928,0.329160962,0.218546791
4, Dolphin at Walt Disney World,9,-0.008318265,0.435230251,1.142329726,-0.378088489,0.188584832,0.567065547,0.318565401,0.87171521,-0.282545337,-1.09644485,-1.190606061,-1.144778044,-2.349814952,-1.368429072,-0.670839038,1.218546791
7, Dolphin at Walt Disney World,4,-1.008318265,-0.564769749,1.142329726,-0.378088489,2.188584832,-1.432934453,-0.681434599,0.87171521,-0.282545337,-1.09644485,-2.190606061,-1.144778044,-2.349814952,-2.368429072,-0.670839038,1.218546791
3, Dolphin at Walt Disney World,10,-0.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,0.567065547,-0.681434599,-0.12828479,-2.282545337,-1.09644485,-1.190606061,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
7, Dolphin at Walt Disney World,1,-1.008318265,-0.564769749,1.142329726,-0.378088489,-0.811415168,-1.432934453,-0.681434599,0.87171521,-0.282545337,0.90355515,-2.190606061,-1.144778044,0.650185048,-1.368429072,-0.670839038,1.218546791
6, Disneys Yacht Club Resort,10,-1.008318265,-0.564769749,1.142329726,-0.378088489,-0.811415168,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,1.809393939,-1.144778044,0.650185048,0.631570928,-0.670839038,1.218546791
5, Disneys Yacht Club Resort,2,0.991681735,3.435230251,-0.857670274,2.621911511,0.188584832,0.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,1.329160962,0.218546791
3, Disneys Yacht Club Resort,6,-1.008318265,-0.564769749,1.142329726,0.621911511,1.188584832,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,-0.670839038,1.218546791
7, Disneys Yacht Club Resort,4,-1.008318265,-0.564769749,0.142329726,-0.378088489,1.188584832,0.567065547,0.318565401,0.87171521,-0.282545337,-1.09644485,-0.190606061,-1.144778044,1.650185048,-1.368429072,0.329160962,-1.781453209
6, Disneys Yacht Club Resort,1,-0.008318265,-0.564769749,1.142329726,1.621911511,0.188584832,0.567065547,0.318565401,0.87171521,1.717454663,0.90355515,0.809393939,-0.144778044,0.650185048,0.631570928,0.329160962,1.218546791
4, Disneys Yacht Club Resort,3,0.991681735,1.435230251,1.142329726,-0.378088489,-1.811415168,-0.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,1.650185048,1.631570928,-0.670839038,1.218546791
5, Disneys Yacht Club Resort,16,-1.008318265,2.435230251,1.142329726,0.621911511,-1.811415168,1.567065547,1.318565401,-0.12828479,-2.282545337,-1.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,2.329160962,1.218546791
12, Disneys Wilderness Lodge,15,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,0.87171521,-2.282545337,0.90355515,-0.190606061,-1.144778044,0.650185048,1.631570928,-0.670839038,1.218546791
7, Disneys Wilderness Lodge,1,0.991681735,1.435230251,0.142329726,0.621911511,-1.811415168,-0.432934453,-0.681434599,-0.12828479,0.717454663,-0.09644485,-0.190606061,-1.144778044,0.650185048,0.631570928,1.329160962,-0.781453209
7, Disneys Wilderness Lodge,20,0.991681735,-0.564769749,1.142329726,1.621911511,1.188584832,1.567065547,1.318565401,0.87171521,-2.282545337,0.90355515,0.809393939,0.855221956,1.650185048,1.631570928,3.329160962,1.218546791
1, Disneys Wilderness Lodge,14,-1.008318265,1.435230251,-0.857670274,-0.378088489,-0.811415168,0.567065547,1.318565401,0.87171521,-1.282545337,-0.09644485,-0.190606061,2.855221956,0.650185048,-0.368429072,2.329160962,1.218546791
1, Disneys Wilderness Lodge,8,-2.008318265,0.435230251,0.142329726,-0.378088489,-1.811415168,-1.432934453,1.318565401,-1.12828479,-2.282545337,-0.09644485,0.809393939,2.855221956,-1.349814952,-0.368429072,0.329160962,0.218546791
